,hotels,noun_extraction
20,제주 센트럴 시티 호텔,"[('깨끗', 42), ('공항', 40), ('구성비', 35), ('깔끔', 33), ('객실', 32), ('친절', 29), ('위치', 29), ('주차', 28), ('직원', 27), ('불편', 25), ('시설', 24), ('침대', 21), ('괜찮', 20), ('냄새', 19), ('프런트', 18), ('가격', 18), ('청결', 17), ('화장실', 16), ('만족', 16), ('편하', 15), ('저렴', 14), ('주차장', 14), ('욕실', 13), ('샤워', 13), ('청소', 12), ('조식', 12), ('에어컨', 12), ('욕조', 12), ('시내', 12), ('가깝', 12), ('커튼', 11), ('주변', 11), ('접근성', 10), ('근처', 10), ('교통', 10), ('거울', 9), ('예약', 9), ('더블', 9), ('칫솔', 8), ('감사', 8), ('찝찝', 8), ('체크인', 8), ('방음', 8), ('담배', 8), ('필요', 7), ('상태', 7), ('경치', 7), ('편리', 7), ('카펫', 7), ('바닥', 7)]"
21,제주 엠스테이,"[('시장', 31), ('주차', 31), ('친절', 26), ('구성비', 22), ('직원', 21), ('깔끔', 20), ('주차장', 19), ('괜찮', 19), ('경치', 17), ('조식', 17), ('수영장', 17), ('위치', 15), ('깨끗', 14), ('만족', 13), ('불편', 13), ('객실', 13), ('편의점', 13), ('카펫', 10), ('가깝', 10), ('타워', 9), ('저렴', 8), ('편하', 7), ('후기', 7), ('가격', 6), ('화장실', 6), ('맛있', 6), ('예약', 6), ('프런트', 6), ('시설', 6), ('바닥', 6), ('근처', 5), ('숙박', 5), ('청소', 5), ('사람', 5), ('기계식', 5), ('불친절', 5), ('나쁘', 5), ('체크', 4), ('편했', 4), ('샤워', 4), ('샴푸', 4), ('청결', 4), ('체크인', 4), ('가운', 4), ('거리', 4), ('이동', 4), ('에어컨', 4), ('먼지', 4), ('실망', 4), ('상태', 4)]"
22,"제주 헤이, 서귀포","[('깔끔', 74), ('친절', 66), ('깨끗', 63), ('주차장', 62), ('시설', 50), ('조식', 47), ('시장', 46), ('직원', 45), ('위치', 41), ('구성비', 40), ('경치', 38), ('객실', 34), ('괜찮', 32), ('만족', 29), ('주차', 27), ('지하', 27), ('모기', 23), ('수압', 23), ('화장실', 21), ('가격', 20), ('맛있', 19), ('엘리베이터', 18), ('불편', 18), ('청소', 18), ('냄새', 18), ('건물', 17), ('예약', 14), ('근처', 14), ('청결', 14), ('협소', 13), ('침대', 13), ('서비스', 13), ('저렴', 13), ('공간', 12), ('거리', 12), ('감사', 12), ('업그레이드', 12), ('초보', 11), ('편하', 11), ('추천', 11), ('가깝', 11), ('무료', 10), ('로비', 10), ('프런트', 10), ('접근성', 10), ('분위기', 10), ('단점', 10), ('운전', 9), ('포함', 9), ('카페', 9)]"
23,코델리아s 호텔 앤 리조트,"[('구성비', 82), ('가격', 48), ('수영장', 46), ('시설', 46), ('저렴', 45), ('친절', 41), ('괜찮', 39), ('리조트', 39), ('조식', 38), ('만족', 34), ('직원', 33), ('객실', 30), ('불편', 28), ('깨끗', 28), ('침대', 27), ('예약', 27), ('청소', 24), ('깔끔', 24), ('편의점', 24), ('청결', 20), ('냄새', 20), ('경치', 20), ('방음', 19), ('수건', 18), ('상태', 17), ('위치', 17), ('가족', 15), ('소리', 15), ('아이', 15), ('사진', 14), ('사람', 14), ('프런트', 14), ('관리', 12), ('일출', 12), ('서비스', 12), ('거리', 12), ('맛있', 12), ('화장실', 12), ('이불', 11), ('벌레', 11), ('영장', 11), ('나쁘', 11), ('최악', 10), ('먼지', 10), ('근처', 10), ('주변', 10), ('불친절', 10), ('노후', 9), ('바닥', 9), ('제공', 9)]"
24,코업시티호텔 성산,"[('경치', 93), ('친절', 59), ('깨끗', 59), ('위치', 55), ('깔끔', 50), ('시설', 40), ('만족', 39), ('구성비', 35), ('객실', 33), ('화장실', 33), ('직원', 32), ('괜찮', 29), ('조식', 29), ('청결', 24), ('가깝', 24), ('침대', 22), ('편의점', 21), ('바다', 18), ('불편', 18), ('근처', 17), ('편하', 17), ('청소', 17), ('업그레이드', 16), ('상태', 16), ('가격', 16), ('냄새', 15), ('소리', 15), ('거리', 15), ('주차', 14), ('주차장', 14), ('일출', 14), ('사진', 14), ('서비스', 13), ('주변', 13), ('편리', 13), ('저렴', 13), ('맛있', 13), ('방음', 12), ('침구', 12), ('추천', 11), ('먼지', 11), ('로비', 11), ('예약', 10), ('조용', 10), ('감사', 10), ('루프', 9), ('수압', 9), ('내부', 9), ('접근성', 9), ('공간', 8)]"
25,탐라스테이 제주,"[('경치', 60), ('친절', 27), ('깨끗', 26), ('깔끔', 22), ('수영장', 19), ('직원', 19), ('바다', 17), ('불편', 17), ('객실', 17), ('위치', 16), ('시설', 15), ('편의점', 14), ('침대', 14), ('화장실', 13), ('괜찮', 13), ('예약', 12), ('만족', 11), ('상태', 10), ('주변', 10), ('구성비', 10), ('냄새', 10), ('프런트', 10), ('청결', 9), ('칫솔', 8), ('공항', 8), ('에어컨', 8), ('청소', 8), ('불친절', 7), ('컨디션', 7), ('전화', 7), ('부족', 7), ('마음', 6), ('조식', 6), ('치약', 6), ('로비', 6), ('방음', 6), ('매트리스', 6), ('아쉽', 6), ('태풍', 6), ('화재', 5), ('맛있', 5), ('장점', 5), ('고장', 5), ('조용', 5), ('주차', 5), ('가격', 5), ('저렴', 5), ('방송', 5), ('조명', 5), ('전망', 5)]"
26,파크 선샤인 제주,"[('깨끗', 52), ('친절', 43), ('깔끔', 36), ('구성비', 33), ('직원', 31), ('객실', 28), ('침대', 26), ('만족', 22), ('조식', 20), ('시설', 20), ('위치', 19), ('시장', 18), ('맛있', 17), ('괜찮', 15), ('경치', 15), ('조용', 15), ('감사', 14), ('침구', 14), ('컨디션', 12), ('주변', 11), ('화장실', 10), ('의사', 9), ('테라스', 9), ('주차', 9), ('가격', 8), ('주차장', 8), ('예약', 8), ('욕조', 8), ('불편', 8), ('편안', 7), ('특히', 7), ('푹신', 7), ('가깝', 7), ('방음', 7), ('편하', 7), ('서비스', 7), ('침구류', 7), ('아쉽', 7), ('추천', 7), ('근처', 6), ('청결', 6), ('먼지', 6), ('프런트', 6), ('편의점', 6), ('편리', 6), ('거리', 6), ('소리', 6), ('이불', 5), ('훌륭', 5), ('강추', 5)]"
27,팜파스호텔 제주,"[('공항', 73), ('비행기', 69), ('소리', 61), ('친절', 55), ('깔끔', 46), ('깨끗', 40), ('바다', 33), ('직원', 31), ('근처', 30), ('구성비', 23), ('시설', 23), ('괜찮', 21), ('침대', 20), ('화장실', 18), ('예약', 16), ('만족', 15), ('편의점', 15), ('객실', 15), ('가깝', 15), ('위치', 14), ('경치', 14), ('산책', 13), ('소음', 13), ('주변', 11), ('단점', 11), ('가격', 11), ('프런트', 10), ('방음', 10), ('새벽', 10), ('추천', 10), ('접근성', 9), ('스타', 8), ('예민', 8), ('민감', 8), ('신축', 8), ('불편', 7), ('샤워', 7), ('시끄럽', 7), ('편하', 7), ('청결', 6), ('주차장', 6), ('서비스', 6), ('감사', 6), ('주차', 6), ('도착', 5), ('일찍', 5), ('거리', 5), ('컨디션', 5), ('창문', 5), ('샴푸', 5)]"
28,퍼스트70 호텔,"[('위치', 15), ('깨끗', 13), ('시장', 12), ('괜찮', 9), ('구성비', 9), ('친절', 8), ('청결', 7), ('화장실', 6), ('시설', 6), ('편의점', 6), ('먼지', 5), ('주차', 5), ('깔끔', 5), ('예약', 5), ('주차장', 4), ('만족', 4), ('직원', 4), ('근처', 4), ('침구', 4), ('객실', 3), ('에어컨', 3), ('실내', 3), ('로비', 3), ('숙박', 3), ('거리', 3), ('서비스', 3), ('냄새', 3), ('머리', 2), ('작년', 2), ('건물', 2), ('체크인', 2), ('불편', 2), ('피부', 2), ('업그레이드', 2), ('원래', 2), ('청소', 2), ('협소', 2), ('주변', 2), ('가까운', 2), ('편하', 2), ('가깝', 2), ('조용', 2), ('상태', 2), ('아쉽', 2), ('부모', 2), ('정리', 2), ('흡연', 2), ('충전', 2), ('심하', 2), ('사진', 1)]"
29,플레이스 캠프 제주,"[('혼자', 49), ('시설', 34), ('깔끔', 27), ('방음', 23), ('냉장고', 21), ('추천', 20), ('만족', 19), ('티브이', 19), ('구성비', 19), ('침대', 18), ('깨끗', 16), ('위치', 16), ('카페', 15), ('불편', 14), ('분위기', 13), ('경치', 12), ('식당', 12), ('소리', 12), ('주변', 12), ('객실', 12), ('괜찮', 11), ('편하', 11), ('근처', 11), ('거리', 10), ('친절', 10), ('화장실', 10), ('숙박', 10), ('예약', 10), ('편의점', 9), ('다양', 9), ('당황', 9), ('소음', 9), ('직원', 8), ('사람', 8), ('크기', 8), ('청소', 8), ('액티비티', 7), ('맥주', 7), ('공간', 7), ('편의', 7), ('친구', 7), ('맛있', 7), ('되게', 6), ('재밌', 6), ('광장', 6), ('심심', 6), ('상태', 6), ('침구', 6), ('출장', 6), ('귀마개', 6)]"
